ID,YearQrtr,Asset Growth Rate ,Gross Loans/ Assets ,Deposit Growth Rate ,Loans/ Deposits ,Interest Income/ Avg Assets ,Interest Expense/ Average Assets ,Net Interest Income/ Avg Assets ,Noninterest Income/ Average Assets ,Net Interest Margin ,Yield/ Cost Spread ,Operating Expense/ Operating Revenue ,Risk Based Capital Ratio ,Equity/ Assets ,Reserves/ NPAs ,Yield on Loans and Leases ,Cost of Funds , Change in Assets , Change in Deposits ,Net Chargeoffs/ Avg Loans ,Yield on Earning Assets ,Cost of Interest-bearing Liabilities ,Yield/ Cost Spread ,Yield on Securities & Other Assets ,Yield on Debt and Equity Securities ,Yield on Other Assets ,Cost of Int-bearing Deposits ,Cost of Borrowings ,Cost of Time Deposits > $250K ,Cost of Other Time Deposits ,Earning Assets/ IBL ,Liquidity Ratio ,Liquid Assets/ Assets ,One Year Gap/ Assets ,Asset-weighted Securities & Other Yield ,Asset-weighted Loan Yield ,Asset-weighted Securities Yield ,Liab-weigh Cost of Int-bear Dep ,Liability-wtd Borrowing Cost ,Asset-weighted Other Asset Yield ,ROAA ,U.S.Avg Rate _1Yr10K_CD,U.S.Avg Rate _5Yr10K_CD
BNk18,2007Q1,34.44,12.53,29.37,15.63,5.08,3.24,1.85,0.48,1.89,1.16,51.87,27.45,11.3,63.51,5.93,4.02,8.61,7.34,0.17,5.19,4.03,1.16,5.07,,10.9,4.03,,,,120.77,95.15,84.4,,4.36,0.83,,4.03,,4.36,0.66,,
BNk19,2007Q1,-7.87,77.93,-7.34,90.59,6.54,2.53,4.01,0.26,4.16,3.19,61.95,16.91,12.34,511.54,7.5,2.92,-1.97,-1.84,0.14,6.78,3.59,3.19,3.93,3.33,4.38,3.59,11.56,4.51,4.36,137.23,14.2,12.45,7.67,0.79,6,0.43,3.59,0,0.35,0.95,4.5,5.35
BNk20,2007Q1,19.27,69.53,38.58,80.33,6.29,2.92,3.37,4.18,3.7,2.97,73.17,12.98,10.41,732.12,7.36,3.64,4.82,9.64,0.03,6.9,3.93,2.97,5.09,5.05,5,3.85,5.44,4.91,4.65,111.8,16.32,14.62,14.13,1.02,5.89,0.86,3.66,0.27,0.15,1.2,4.45,4.5
BNk21,2007Q1,10.89,93.21,12.24,112.82,7.46,3.94,3.53,0.11,3.63,3.06,43.05,12.2,7.88,280.38,7.86,4.34,2.72,3.06,1.47,7.69,4.63,3.06,4.08,3.9,2,4.49,5.95,4.91,4.96,113.78,4.8,4.42,-24.46,0.16,7.55,0.08,4.09,0.54,0.06,0.8,,
BNk22,2007Q1,-14.6,88.29,-25.57,107.38,7.7,2.88,4.82,0.47,5.03,4.03,58.85,12.78,12.03,54.54,8.35,3.27,-3.65,-6.39,-0.02,8.04,4.01,4.03,4.8,4.35,,3.98,4.39,4.73,4.46,133.66,7.89,6.94,42.14,0.43,7.6,0.35,3.7,0.31,0.09,1.96,,
BNk23,2007Q1,-6.17,86.75,5.34,121.33,6.19,3.62,2.57,0.47,2.7,2.25,86.77,11.26,8.17,,6.73,3.97,-1.54,1.33,0.09,6.5,4.25,2.25,4.52,5.02,3.98,4.09,4.78,4.82,4.63,108.93,8.16,7.49,5.09,0.46,6.04,0.27,3.1,1.16,0.2,0.22,,
BNk24,2007Q1,36.35,67.11,40.03,76.85,7.2,2.54,4.66,1.29,5.04,4.87,51.72,11.09,6.78,689.01,8.73,2.34,9.09,10.01,0.03,7.79,2.92,4.87,5.03,5.2,4.5,2.72,6.18,4.28,4.05,127.13,16.69,15.55,51.85,1.26,6.55,0.88,2.55,0.37,0.36,1.85,4.33,
BNk25,2007Q1,2.65,71.96,0.81,81.3,6.26,2.96,3.31,0.32,3.46,2.83,74.33,17.53,10.86,313.61,6.97,3.31,0.66,0.2,0.06,6.56,3.72,2.83,5.21,5.67,4.37,3.72,,4.58,4.45,121.28,26.85,23.94,-19.18,1.22,5.34,0.86,3.72,,0.37,0.54,,
BNk26,2007Q1,-50.4,54.89,-57.94,68.65,5.96,2.59,3.37,3.05,3.65,2.33,75.97,11.46,5.6,49.22,7.56,2.81,-12.6,-14.49,2.93,6.45,4.12,2.33,4.85,4.41,5.23,3.87,5.18,8.17,1.05,133.5,23.24,21.94,41.35,1.99,4.46,0.84,3.14,0.98,1.15,0.69,,
BNk27,2007Q1,26.92,71.37,13.82,91.49,6.54,2.98,3.56,1.3,4.02,2.65,50.05,12.7,9.62,762.65,7.87,3.53,6.73,3.46,0.29,7.38,4.73,2.65,5.1,4.73,5.91,4.66,5.02,4.85,4.75,129.39,23.97,21.66,16.4,0.92,6.45,0.28,3.82,0.9,0.65,2.02,5,4.6
