ID,YearQrtr,Asset Growth Rate ,Gross Loans/ Assets ,Deposit Growth Rate ,Loans/ Deposits ,Interest Income/ Avg Assets ,Interest Expense/ Average Assets ,Net Interest Income/ Avg Assets ,Noninterest Income/ Average Assets ,Net Interest Margin ,Yield/ Cost Spread ,Operating Expense/ Operating Revenue ,Risk Based Capital Ratio ,Equity/ Assets ,Reserves/ NPAs ,Yield on Loans and Leases ,Cost of Funds , Change in Assets , Change in Deposits ,Net Chargeoffs/ Avg Loans ,Yield on Earning Assets ,Cost of Interest-bearing Liabilities ,Yield/ Cost Spread ,Yield on Securities & Other Assets ,Yield on Debt and Equity Securities ,Yield on Other Assets ,Cost of Int-bearing Deposits ,Cost of Borrowings ,Cost of Time Deposits > $250K ,Cost of Other Time Deposits ,Earning Assets/ IBL ,Liquidity Ratio ,Liquid Assets/ Assets ,One Year Gap/ Assets ,Asset-weighted Securities & Other Yield ,Asset-weighted Loan Yield ,Asset-weighted Securities Yield ,Liab-weigh Cost of Int-bear Dep ,Liability-wtd Borrowing Cost ,Asset-weighted Other Asset Yield ,ROAA ,U.S.Avg Rate _1Yr10K_CD,U.S.Avg Rate _5Yr10K_CD
BNk380,2007Q1,0.55,70.86,2.03,96.98,6.03,2.84,3.19,1.34,3.61,3.26,59.91,11.37,8.95,178.4,7.33,3.14,0.14,0.51,0.23,6.83,3.57,3.26,4.79,4.79,,3.25,4.71,4.29,4.33,111.39,5.87,5.34,12.68,0.96,5.86,0.96,2.53,1.04,0.01,1.16,3.66,4.66
BNk381,2007Q1,-7.12,74.35,-8.59,85.57,6.14,1.7,4.44,1.27,4.71,4.03,64.45,14.93,8.79,,7.14,1.9,-1.78,-2.15,0,6.5,2.47,4.03,4.19,3.86,6,2.41,4.19,4.26,3.79,134.27,15.91,14.51,-18.83,0.92,5.57,0.69,2.31,0.17,0.24,1.96,,
BNk382,2007Q1,1.81,84.52,8.12,106.41,6.44,2.9,3.54,1.26,3.84,3.28,73.51,10.41,9.52,138.37,7.1,3.22,0.45,2.03,0,6.98,3.7,3.28,5.39,5.19,6.22,3.53,4.79,4.77,4.52,115.79,6.52,5.9,-0.02,0.38,6.6,0.3,3.05,0.65,0.08,0.76,,
BNk383,2007Q1,6.05,89.84,-8.78,108.78,5.61,3.13,2.54,0.18,2.64,2.34,101.67,15.15,8.67,10.84,6,3.44,1.51,-2.2,0.02,5.82,3.48,2.34,3.45,,-0.17,3.35,5,,,107.13,8.13,7.42,,0.24,5.58,,3.08,0.4,0.24,-0.05,,
BNk384,2007Q1,-3.31,79.22,19.86,103.7,5.49,3.3,2.22,0.21,2.31,1.98,122.62,19.33,9.04,700,5.96,3.64,-0.83,4.97,0,5.71,3.73,1.98,4.52,,-0.25,3.51,4.69,,,108.33,19.45,17.69,,0.77,4.95,,2.88,0.84,0.76,-0.36,3.8,4.9
BNk385,2007Q1,20.76,84.27,20.58,120.37,6.3,2.92,3.46,0.26,3.59,2.93,67.38,24.32,13.72,,6.79,3.4,5.19,5.14,0,6.54,3.61,2.93,4.89,,,3.33,4.76,,,119.24,14.84,12.8,,0.68,5.84,,2.7,0.9,0.7,0.91,,
BNk386,2007Q1,,73.41,,81.31,7.95,4.02,3.92,0.74,4.27,3.87,72.06,10.56,4.84,97.06,9.59,4.79,,,0.09,8.65,4.79,3.87,4.86,4.3,5.33,4.57,15.02,,,105.51,15.47,14.72,-48.8,0.97,7.67,0.34,4.48,0.3,0.64,1.21,4.45,3.75
BNk387,2007Q1,27.4,73.8,30.77,81.35,6.61,3.44,3.17,1.34,3.34,3.01,80.94,12.42,7.96,129.66,7.57,3.81,6.85,7.69,0.01,6.96,3.95,3.01,4.45,,-0.61,3.95,,,,108.94,23.77,21.88,,0.89,6.06,,3.95,,0.9,0.52,,
BNk388,2007Q1,1.11,54.66,-14.58,83.3,4.95,2.83,2.2,0.56,2.41,2.08,98.06,25.24,10.65,,6.19,3.19,0.28,-3.64,0,5.41,3.33,2.08,4.26,,-0.78,2.62,5.41,,,107.67,43.84,39.18,,1.7,3.71,,1.96,1.35,1.7,0.04,3.5,4.75
BNk389,2007Q1,22.56,85.14,9.12,112.25,7.21,3.99,3.25,2.96,3.37,2.92,62.2,13.78,11.52,20.41,7.85,4.5,5.64,2.28,0.18,7.46,4.54,2.92,4.96,,17.75,4.5,4.8,,,113.74,14.47,12.8,,0.69,6.75,,3.92,0.62,0.71,1.34,,
BNk390,2007Q1,12.61,72.62,20.95,83.8,6.8,2.16,4.64,1.06,4.88,4.6,54.9,12.47,9.48,,7.69,1.93,3.15,5.24,0.01,7.15,2.54,4.6,5.2,5.89,3.75,2.42,5.96,4.91,3.87,143.94,9.06,8.2,-9.71,1.14,6,1,2.35,0.18,0.15,1.56,3.25,
BNk391,2007Q1,-3.02,70.23,-5.32,88.94,6.2,2.82,3.38,0.75,3.64,3.16,62.16,17.08,12.15,107.43,7.44,3.2,-0.75,-1.33,0.08,6.66,3.5,3.16,4.38,4.18,8,3.34,4.77,4.46,4.21,116.41,7.4,6.5,0.65,1.1,5.58,1,2.98,0.52,0.08,1.13,,
BNk392,2007Q1,-7.07,76.59,-12.94,95.8,6.07,2.71,3.36,3.69,3.63,2.79,76.41,13.79,11.62,460.55,7.25,3.3,-1.77,-3.23,0.07,6.56,3.77,2.79,3.3,4.37,1.67,3.7,5.32,4.89,4.67,114.09,12.11,10.47,-0.72,0.56,6.02,0.39,3.55,0.21,0.15,0.8,5.04,4.99
BNk393,2007Q1,-18.24,50.13,-23.94,67.53,4.98,2.74,2.29,0.14,2.4,1.75,104.07,54.53,19.91,28.77,5.88,3.44,-4.56,-5.98,0,5.21,3.46,1.75,4.52,,15.79,3.37,4.8,,,121.13,57.99,46.44,,2.21,3,,3.17,0.29,2.21,0,,
BNk394,2007Q1,21.33,74.22,23.95,87.37,6.52,3.21,3.31,0.82,3.52,2.99,70.3,10.7,8.02,53.43,7.56,3.64,5.33,5.99,0.06,6.94,3.95,2.99,4.77,4.41,5.25,3.89,4.66,5.1,4.56,106.83,10.63,9.78,6.97,1.05,5.9,0.62,3.58,0.37,0.42,0.7,,
BNk395,2007Q1,25.11,55.46,31.93,71.26,5.49,3.01,2.49,0.16,2.61,1.84,78.46,46.73,21.1,,6.5,3.91,6.28,7.98,0,5.77,3.92,1.84,4.67,5.16,3.3,3.92,,,,121.57,49.4,38.98,13.21,1.87,3.89,1.52,3.92,,0.35,0.37,,
BNk396,2007Q1,19.82,63.85,4.38,83.12,5.94,2.89,3.06,1.23,3.47,3.1,68.45,11.94,9.43,166.82,7.52,3.15,4.95,1.1,0.07,6.75,3.65,3.1,4.58,4.41,5,3.53,4.33,4.88,4.64,111.74,16.43,14.88,21.51,1.19,5.56,0.84,3,0.65,0.35,1,4.84,5
BNk397,2007Q1,4.26,49.96,1.17,71.46,6.25,3.37,2.88,1.15,3.06,2.4,55.21,17.96,11.82,406.85,8.02,4.12,1.06,0.29,-0.72,6.64,4.24,2.4,5.13,5.03,7,4.19,4.44,5,4.58,111,27.39,24.15,-6.98,2.46,4.17,2.26,3.27,0.98,0.21,1.74,4.5,4.6
BNk398,2007Q1,-8.9,63.11,-14.67,84.92,5.47,2.65,2.83,0.52,3,2.6,74.27,15.96,9.48,191.45,6.6,2.93,-2.22,-3.67,0.08,5.81,3.21,2.6,4.24,4.1,,3.02,4.08,4.69,4.45,113.65,24.22,21.92,-14.06,1.44,4.36,1.35,2.48,0.73,0.1,0.89,,
BNk399,2007Q1,-20.85,72.63,-22.5,84.37,6.65,3.08,3.58,0.89,3.9,3.77,76.03,11.18,7.66,311.85,7.94,3.23,-5.21,-5.63,-0.01,7.25,3.48,3.77,4.99,4.85,6,3.23,7.54,4.85,4.5,107.13,9.18,8.47,10.93,1.15,6.11,1.02,3.04,0.45,0.12,0.91,,
BNk400,2007Q1,0.41,67.83,5.65,77.96,5.64,2.47,3.17,0.36,3.37,3.12,75.64,15.5,9.28,,6.53,2.74,0.1,1.41,-0.1,6,2.88,3.12,4.65,4.43,5.98,2.89,2.66,4.59,3.74,109.13,24.35,22.09,-18.86,1.31,4.68,1.07,2.78,0.1,0.24,0.57,3.51,4
BNk401,2007Q1,-10.26,81.82,-19.63,103.08,6.22,2.55,3.67,1.14,3.94,3.43,69.84,12.52,7.83,277.41,6.91,2.68,-2.56,-4.91,0.07,6.68,3.26,3.43,4.47,3.9,4,2.99,4.54,4.61,4.16,119.8,11.81,10.89,33.52,0.4,6.29,0.31,2.48,0.77,0.08,0.94,3.67,4.06
BNk402,2007Q1,3.01,57.96,2.82,63.93,5.76,2.26,3.5,0.33,3.74,3.46,81.53,16.57,8.26,115.31,6.99,2.45,0.75,0.71,-0.01,6.16,2.7,3.46,4.71,4.54,5.95,2.7,,5.06,4.17,113.63,42.45,38.95,-3.77,1.73,4.43,1.47,2.7,,0.26,0.55,,
BNk403,2007Q1,9.54,76.36,12.18,91.16,6.78,3.04,3.75,0.96,4.08,3.54,70.44,10.22,7.95,170.81,7.87,3.32,2.38,3.05,0.51,7.39,3.86,3.54,4.88,4.82,5,3.63,6.06,4.8,4.6,115.53,11.85,10.9,12.06,0.78,6.61,0.63,3.3,0.55,0.15,0.76,3.75,4.25
BNk404,2007Q1,130.69,67.16,145.28,81.12,6.68,3.45,3.23,0.72,3.49,3.44,68.47,10,7.52,144.1,7.74,3.37,32.67,36.32,0,7.21,3.77,3.44,5.09,4.69,8,3.57,5.28,4.77,4.26,113.05,15.99,14.78,12.15,1.02,6.19,0.7,3.14,0.63,0.32,0.93,3.3,5
BNk405,2007Q1,-55.98,5.57,-1.68,28.26,3.83,0,3.83,402.46,5.41,5.41,43.74,46.85,45.58,32.32,0,0,-14,-0.42,0.94,5.41,0,5.41,5.84,,5.41,0,,,,,117.99,64.21,,5.43,0,,0,,5.41,148.59,,
BNk406,2007Q1,20.17,85.06,36.36,109.57,5.9,2.64,3.35,0.5,3.67,3.32,77.51,12.54,8.2,180.48,6.5,2.9,5.04,9.09,0,6.46,3.13,3.32,5.48,,-0.04,2.71,5.12,,,105.36,12.27,11.27,,0.22,6.24,,2.22,0.92,0.22,0.52,3.25,3.75
BNk407,2007Q1,-28.32,35.96,,55.3,4.55,1.17,3.42,0.24,3.59,3.16,64.26,46.68,20.94,44.37,4.78,1.46,-7.08,-25.33,-0.02,4.78,1.62,3.16,4.78,,5.48,0.95,8.28,,,136.33,74.59,58.97,,2.96,1.82,,0.86,0.75,2.96,0.68,,
BNk408,2007Q1,2.6,74.53,2.11,84.27,6.39,2.92,3.9,1.56,3.79,3.59,66.93,11.09,8.09,148.61,7.48,2.74,-0.28,-0.22,0.15,6.97,3.68,3.59,4.68,4.42,5.33,3.24,5.53,6.52,3.76,120.17,15.06,13.79,-14.62,1.03,5.83,0.86,3.11,0.15,0.16,1.1,4,4.1
BNk409,2007Q1,16.66,69.04,16.03,80.99,6.89,2.62,4.27,0.74,4.59,3.79,59.64,14.57,9.61,549.28,8.24,2.89,4.16,4.01,-0.07,7.39,3.6,3.79,4.57,4.17,5.22,3.47,5.84,4.83,4.31,128.9,20.76,18.76,14.07,1.05,6.34,0.58,3.26,0.35,0.47,1.15,,
BNk410,2007Q1,-6.61,52.08,-8.05,,5.09,2.57,2.53,0.16,2.66,2.22,,38.61,15.5,,5.71,3.04,-1.65,-2.01,0,5.35,3.13,2.22,4.93,,-0.36,3.13,,,,115.88,53.87,45.52,,2.27,3.08,,3.13,,2.27,0.16,,
BNk411,2007Q1,-10.48,50.94,-0.65,90.43,6.01,4.04,2.08,0.77,2.27,1.99,72.35,11.96,6.88,38.34,7.46,4.36,-2.62,-0.16,0.1,6.54,4.56,1.99,5.44,,10.61,4.23,5.02,,,103.35,45.26,42.14,,2.45,4.1,,2.45,2.11,2.44,0.52,4,4.75
BNk412,2007Q1,6.27,81.38,10.35,103.37,6.27,3.13,3.14,0.57,3.36,2.9,70.58,10.83,7.38,101.59,7.03,3.43,1.57,2.59,0.35,6.71,3.81,2.9,4.33,3.86,6.5,3.58,4.99,4.54,4.56,110.02,10.42,9.64,-2.53,0.52,6.19,0.39,3,0.8,0.13,0.67,,
BNk413,2007Q1,9.04,72.57,18.72,100.99,5.92,3.28,2.64,0.41,2.79,2.32,90.94,15.82,8.85,310.8,6.53,3.59,2.26,4.68,0.02,6.27,3.95,2.32,5.31,5.27,5.74,3.62,5.01,5,4.26,111.99,12.57,11.46,-17.5,1.16,5.11,1.06,2.77,1.18,0.1,0.24,4,4.5
BNk414,2007Q1,1.37,74.97,3.64,102.16,6.16,3.06,3.1,0.78,3.31,3.03,74.47,13.42,9.33,155.05,6.93,3.08,0.34,0.91,0.08,6.57,3.54,3.03,5.1,4.89,10,3.3,4.66,4.94,4.22,120.17,10.91,9.89,-18.92,1.02,5.54,0.93,2.74,0.79,0.1,0.74,3.25,4.25
BNk415,2007Q1,3.01,76.85,2.78,95.57,5.81,3,2.88,0.12,2.97,2.25,64.33,39.86,19.2,28.21,6.46,3.73,0.75,0.7,0,5.99,3.74,2.25,4.17,,-0.47,3.74,,,,121,25,20.2,,0.83,5.17,,3.74,,0.82,0.58,,
BNk416,2007Q1,-67,66.46,-54.29,91.05,6.1,2.95,3.15,1.13,4.04,3.36,49.73,20.14,15.57,,8.31,3.15,-16.75,-13.57,-0.75,7.84,4.47,3.36,5.16,5.29,5,4.63,4.01,4.72,5.15,126.19,4.29,3.62,52.48,0.77,7.06,0.63,3.43,1.04,0.15,1.95,3.82,
BNk417,2007Q1,24.7,0,0,0,3.95,0.15,3.79,97.32,4.82,0.22,77.19,97.8,96.03,,,4.8,6.18,0,0,5.02,4.8,0.22,5.02,,5.02,4.8,,,,,,77.14,,5.02,0,,4.8,,5.02,23.07,,
BNk418,2007Q1,-0.37,54.2,-1.08,71.1,5.33,2.57,2.81,0.19,2.89,2.3,94.37,33.54,15.76,,6.12,3.07,-0.09,-0.27,0,5.48,3.19,2.3,4.67,,-0.64,2.94,5.63,,,120.87,52.1,43.89,,2.05,3.43,,2.67,0.51,2.05,0.01,,
BNk419,2007Q1,-6.96,84.51,4.39,97.74,6.78,4.02,2.76,1.15,2.91,2.83,73.33,10.56,5.97,149.14,7.37,3.93,-1.74,1.1,0.26,7.15,4.32,2.83,5.11,4.91,,4.18,5.69,5.12,5.05,112.34,4.55,4.28,14.23,0.51,6.63,0.49,3.8,0.51,0.03,0.64,,
BNk420,2007Q1,-4.05,68.29,-5.68,79.86,5.31,2.53,2.78,0.2,2.92,2.61,71.89,32.53,13.88,,5.87,2.95,-1.01,-1.42,0,5.58,2.97,2.61,4.85,,-0.29,2.97,,,,112.66,33.56,28.91,,1.41,4.17,,2.97,,1.41,0.56,5,4.25
BNk421,2007Q1,-3.36,76.34,-1.15,109.89,6.01,2.92,3.09,2.48,3.5,2.81,56.54,11.19,9.82,150.52,7.09,3.35,-0.84,-0.29,0.38,6.8,4,2.81,4.95,5,1.5,3.62,5.18,5.09,4.58,120.48,5.28,4.76,6.91,0.64,6.17,0.6,2.75,1.24,0.03,1.45,3.25,3.87
BNk422,2007Q1,11.57,47.4,13.42,55.64,5.39,2.47,2.93,0.96,3.14,2.93,74.04,16.83,9.4,99.53,7.21,2.47,2.89,3.35,0.06,5.79,2.87,2.93,4.28,4.16,5.67,2.77,4.32,4.73,4.55,122.62,20.37,18.45,-6.26,2.05,3.75,1.87,2.61,0.26,0.17,0.75,3.5,4.3
BNk423,2007Q1,-4.94,81.21,-3.07,91.65,6.82,3.26,3.56,0.92,3.78,3.15,82.95,10.99,6.65,333.87,7.66,3.51,-1.23,-0.77,0.03,7.24,4.08,3.15,4.64,4.58,5,4.25,1.1,4.75,4.95,116.94,11.65,10.88,12.97,0.65,6.59,0.5,4.03,0.06,0.15,-0.32,4.5,4.5
BNk424,2007Q1,-60.88,0,-64.7,0,4.8,1.83,3.03,1.6,3.24,2.85,85.38,40.25,7.56,,,1.97,-15.22,-16.18,0,5.12,2.27,2.85,5.12,,6.92,2.27,,,,119.35,104.78,96.86,,5.12,0,,2.27,,5.12,0.42,,
BNk425,2007Q1,3.76,55.56,11.61,73.17,5.81,2.55,3.26,1.2,3.69,3.49,79.99,21.37,11.73,135.58,7.78,2.59,0.94,2.9,0.02,6.59,3.09,3.49,4.37,4.6,3.33,2.54,6.39,4.6,4.14,121.17,21.43,18.92,-27.67,1.53,5.06,1.33,2.19,0.89,0.2,0.64,3.55,
BNk426,2007Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNk427,2007Q1,7.6,81.65,11.89,101.9,6.83,3.2,3.63,0.81,3.89,3.35,60.73,11.74,7.57,194.33,7.56,3.5,1.9,2.97,0.13,7.32,3.97,3.35,4.99,4.48,6.5,3.73,5.95,4.98,4.59,114.6,8.86,8.19,5.58,0.45,6.88,0.31,3.32,0.65,0.13,0.94,3.35,
BNk428,2007Q1,1.36,76.38,9.7,102.67,6.28,3.48,2.8,0.8,2.95,2.67,53.32,11.34,9.81,195.57,6.87,3.72,0.34,2.42,0.08,6.61,3.94,2.67,5.42,5.09,,3.75,4.74,5.17,4.35,108.76,5.47,4.93,-10.42,0.98,5.63,0.92,3.04,0.9,0.06,1.11,,
BNk429,2007Q1,-1.05,86.82,-8.95,107.17,6.97,3.2,3.77,1.07,4.03,3.71,56,10.53,7.4,955.95,7.64,3.23,-0.26,-2.24,0.04,7.46,3.75,3.71,5.09,4.68,,3.54,5.1,4.7,4.39,119.43,4.48,4.15,3.14,0.36,7.11,0.33,3.08,0.66,0.02,1.31,4.5,5
BNk430,2007Q1,-4.49,64.59,9.98,98.47,6.98,4.15,2.83,0.33,2.89,2.36,57.93,13.55,7.73,58.55,8.08,4.55,-1.12,2.49,0.86,7.14,4.78,2.36,5.26,5.23,,4.63,5.13,5.16,4.44,112.61,7.73,7.14,-21.73,1.74,5.41,1.73,3.24,1.54,0,0.53,3.35,4.25
BNk431,2007Q1,7.94,65.58,10.42,75.14,5.93,2.7,3.23,1.54,3.36,2.48,65.13,13.26,8.34,143.86,6.79,3.42,1.98,2.61,0.01,6.16,3.67,2.48,4.75,5,3.67,3.61,4.85,4.42,4.93,108.61,32.33,29.63,-7.56,1.47,4.69,1.25,3.43,0.24,0.22,0.5,4.5,
BNk432,2007Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,4.25
BNk433,2007Q1,9.27,71.14,8.89,87.64,6.92,2.45,4.48,1.72,4.88,4.19,48.09,17.12,14.42,320.9,8.38,2.74,2.32,2.22,0.24,7.55,3.36,4.19,4.32,4.21,3,3.29,4.79,4.86,4.83,132.2,18.26,15.62,20.86,0.86,6.7,0.76,3.13,0.24,0.09,1.96,4.32,
BNk434,2007Q1,11.45,28.13,12.83,32.77,5.06,2.25,2.81,0.23,3.08,2.4,88.95,37.38,13.52,50.33,7.08,2.65,2.86,3.21,0,5.54,3.13,2.4,4.82,4.52,18.3,3.08,,4.45,4.29,127.04,79.1,68.41,-16.39,3.29,2.25,3.02,3.08,,0.27,0.32,,
BNk435,2007Q1,10.1,63.25,6.56,80.44,7.3,2.75,4.55,2.02,4.75,3.81,52.65,28.78,14.3,169.09,8.85,3.17,2.53,1.64,-0.02,7.63,3.83,3.81,4.57,4.5,6,3.68,5.13,4.49,4.47,131.78,32.68,28.01,19.61,1.33,6.28,0.99,3.31,0.51,0.36,1.65,4,
BNk436,2007Q1,0.16,77.78,5.47,95.61,6.38,3.26,3.11,1.04,3.37,2.93,56.22,10.66,7.47,233.27,7.29,3.54,0.04,1.37,0.05,6.9,3.97,2.93,4.65,4.63,5,3.77,5.24,5.4,4.38,113.2,8.38,7.75,-8.93,0.7,6.2,0.65,3.28,0.68,0.05,1.25,5,5
BNk437,2007Q1,6.41,83.15,33.02,96.06,7.01,4.28,2.73,0.44,2.85,2.57,75.76,10.31,5.82,221.6,7.76,4.47,1.6,8.25,-0.01,7.32,4.75,2.57,4.43,4.45,,4.78,4.45,5.09,4.93,108.78,10.62,10,13.49,0.58,6.75,0.58,4.26,0.49,-0.01,0.3,4.25,4.25
BNk438,2007Q1,21.91,73.41,25.38,81.72,6.31,3.89,2.42,0.6,2.53,2.08,50.69,10.71,6.93,,7.19,4.28,5.48,6.35,0,6.59,4.51,2.08,4.74,4.92,4.71,4.49,5.12,4.68,5.05,111.04,22.21,20.67,5.6,1.15,5.44,0.2,4.35,0.17,0.95,0.73,4.25,5.35
BNk439,2007Q1,9.31,64.97,8.46,81.27,6.3,3.1,3.2,1.31,3.56,3.61,70.42,12.62,8.3,321.7,7.79,3.01,2.33,2.11,-0.03,7.01,3.39,3.61,4.81,4.53,8,3.21,4.57,5.17,4.24,112.77,13.84,12.69,-14.92,1.25,5.76,1.09,2.79,0.59,0.16,0.96,4.5,4.4
BNk440,2007Q1,3.16,64.47,-0.65,80.34,5.55,2.55,3,1.82,3.36,3.23,73.76,15.52,8.47,784.71,6.86,2.6,0.79,-0.16,0.11,6.23,3,3.23,4.46,4.39,6.25,2.84,3.87,4.79,4.21,120.14,16.08,14.72,13.95,1.2,5.01,0.97,2.42,0.58,0.25,0.74,3.3,3.92
BNk441,2007Q1,5.62,59.95,6.84,80.25,5.91,3.19,2.72,0.66,2.78,2.13,56.12,18.15,11.47,216.18,7.11,3.58,1.41,1.71,-0.04,6.04,3.91,2.13,4.31,4.41,1.33,3.7,4.93,4.7,4.5,116.6,17.76,15.72,-39.77,1.64,4.41,1.59,3.07,0.84,0.04,1.78,,
BNk442,2007Q1,-7.08,82.88,-7.55,93.34,5.88,3.39,2.49,1.01,2.56,2.16,67.05,12.46,7.16,118.74,6.36,3.61,-1.77,-1.89,0.11,6.03,3.87,2.16,3.77,3.51,5.5,3.82,5.12,4.6,4.71,109.74,10.62,9.86,-35.11,0.49,5.53,0.28,3.67,0.2,0.22,0.74,,
BNk443,2007Q1,8.5,40.31,8.01,44.52,5.8,2.42,3.38,1.64,3.48,3.2,55.86,17.12,8.56,852.94,8.01,2.67,2.13,2,-0.1,5.96,2.77,3.2,4.48,,12.38,2.77,,,,110.83,64.57,59.04,,2.6,3.36,,2.77,,2.6,1.78,,
BNk444,2007Q1,-12.09,63.18,2.68,85.02,5.66,2.89,2.77,0.72,3.05,2.75,70.81,12.74,9.76,227.6,6.84,3.14,-3.02,0.67,0.24,6.23,3.48,2.75,4.85,4.74,,3.31,4.03,5.01,3.97,112.54,13.32,12.02,-33.53,1.5,4.72,1.47,2.55,0.93,0.04,0.73,2.96,3.95
BNk445,2007Q1,16.15,59.55,7.12,88.75,6.03,2.68,3.34,1,3.7,3.57,54.55,13.03,10.3,244.87,7.43,2.73,4.04,1.78,0.01,6.67,3.1,3.57,4.99,5,4,2.78,4.13,3.91,4.56,116.8,16.64,14.92,-1.82,1.55,5.13,1.5,2.11,0.99,0.04,1.4,4.85,4.75
BNk446,2007Q1,33.29,33.2,36.76,38.19,4.81,1.49,3.32,18.59,4.06,3.09,93.45,17.67,7.06,,7.25,1.6,8.32,9.19,1.2,5.88,2.79,3.09,4.81,4.78,4.44,2.65,4.73,4.21,4.29,148.23,57.2,53.17,-2.43,2.69,3.19,2.29,2.47,0.33,0.4,1.12,,
BNk447,2007Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,4.46
BNk448,2007Q1,1.74,52.36,-2.18,69.7,5.38,2.73,2.65,0.83,3.11,3.07,73.36,14.37,11.44,422.5,7.37,2.78,0.43,-0.55,-0.02,6.3,3.23,3.07,4.62,4.49,6,2.93,4.92,4.83,4.56,113.89,27.38,24.25,-6.76,1.8,4.5,1.62,2.49,0.74,0.18,0.54,,
BNk449,2007Q1,0.41,67.83,5.65,77.96,5.64,2.47,3.17,0.36,3.38,2.78,75.64,15.5,9.28,,6.53,3.07,0.1,1.41,-0.1,6.01,3.23,2.78,4.69,4.43,6.25,3.24,3.03,2.13,5.62,109.13,24.35,22.09,3.68,1.31,4.7,1.06,3.11,0.12,0.25,0.57,3.51,4
BNk450,2007Q1,27.6,79,17.58,113.65,5.98,2.99,2.99,0.64,3.21,2.65,77.94,14.91,9.89,352.79,6.62,3.33,6.9,4.39,0.02,6.43,3.77,2.65,5.23,5,7.71,3.34,5.25,4.63,4.52,116.07,14.93,13.46,-15.17,0.73,5.7,0.64,2.58,1.19,0.09,0.52,2.5,4.5
BNk451,2007Q1,-0.18,83.07,-1.05,95.78,7.43,3.33,4.1,1,4.42,4.34,58.6,10.41,5.85,88.08,8.37,3.24,-0.04,-0.26,0.43,8.01,3.67,4.34,4.9,4.7,4.8,3.46,6.41,4.97,4.66,113.45,6.82,6.42,18.4,0.49,7.53,0.24,3.22,0.45,0.24,1.26,,
BNk452,2007Q1,-12.7,61.75,-14.85,72.85,5.48,2.03,3.45,1.32,3.76,3.39,72.61,19.44,13.26,270.78,6.81,2.26,-3.17,-3.71,-0.03,5.98,2.58,3.39,4.35,4.23,5.5,2.57,4.51,4.95,4.54,122.37,22.1,19.17,-3.67,1.48,4.49,1.27,2.57,0,0.22,1.03,3.95,3.65
BNk453,2007Q1,-0.63,75.64,29.54,91.75,7.09,3.23,3.86,1.12,4.11,3.97,56.3,11.64,8.08,196.54,8.23,3.12,-0.16,7.38,0.99,7.56,3.58,3.97,4.57,4.39,,3.25,5.76,4.52,4.86,118.04,13.52,12.43,2.82,0.82,6.75,0.79,2.83,0.75,0.02,1.15,4.05,
BNk454,2007Q1,12.68,67.4,14.08,79.19,6.35,2.88,3.52,0.94,3.89,3.49,50.37,11.6,7.82,115.09,7.64,3.15,3.17,3.52,0.16,7.03,3.54,3.49,5.22,,43.33,3.39,5.31,,,111.09,28.42,26.2,,1.31,5.73,,3.12,0.42,1.3,1.89,4.25,4.55
BNk455,2007Q1,-1.81,88.12,-2.92,103.71,7.66,3.33,4.35,0.76,4.5,4.02,75.07,15.35,10.76,186.09,8.28,3.74,-0.45,-0.73,0.1,7.92,3.89,4.02,4.45,,-0.36,3.83,5.28,,,112.96,11.48,10.24,,0.45,7.45,,3.63,0.26,0.47,0.68,3.35,4
BNk456,2007Q1,13.27,69.93,9.69,86.74,6.19,2.77,3.43,1.63,3.75,3.15,63.5,19.29,10.39,401.79,7.3,3.12,3.32,2.42,0,6.77,3.61,3.15,4.95,,,3.47,4.91,,,119.68,27.29,24.45,,1.14,5.62,,3.12,0.49,1.15,1.11,,
BNk457,2007Q1,0.08,49.03,4.92,70.9,5.41,2.75,2.66,0.44,2.78,2.19,72.18,34.25,17.59,671.83,6.48,3.36,0.02,1.23,0,5.65,3.46,2.19,4.84,,30.88,3.39,3.79,,,120.54,58.44,48.16,,2.47,3.18,,2.82,0.64,2.47,0.53,,
BNk458,2007Q1,6.57,44.74,6.61,,6.15,3.12,3.05,0.68,3.2,2.48,,34.61,15.26,,7.31,3.71,1.64,1.65,0,6.45,3.97,2.48,5.6,,-0.86,3.94,6.52,,,123.03,63.52,53.83,,2.8,3.66,,3.9,0.07,2.79,0.67,,
BNk459,2007Q1,-1.48,87.09,-2.23,118.38,5.69,3.13,2.59,0.67,2.8,2.36,88.75,19.49,12.99,10.43,6.24,3.62,-0.37,-0.56,0,6.15,3.79,2.36,4.6,,-0.09,3.66,4.46,,,111.76,6.67,5.8,,0.28,5.87,,3.08,0.71,0.28,0.27,4.3,4.9
BNk460,2007Q1,-1.24,60.67,1.11,81.74,5.35,2.3,3.08,0.81,3.33,2.96,82.62,28.57,13.61,144.1,6.46,2.69,-0.31,0.28,0.05,5.78,2.83,2.96,4.58,,,2.64,3.94,,,113.63,38.98,33.68,,1.65,4.13,,2.27,0.55,1.65,0.44,,
